State,FIPS,DSCI,date
CA,06047,300,2009-04-07
CA,06047,300,2009-04-14
CA,06047,300,2009-04-21
CA,06047,300,2009-04-28
CA,06047,300,2009-05-05
CA,06047,300,2009-05-12
CA,06047,300,2009-05-19
CA,06047,300,2009-05-26
CA,06047,300,2009-06-02
CA,06047,300,2009-06-09
CA,06047,300,2009-06-16
CA,06047,300,2009-06-23
CA,06047,300,2009-06-30
CA,06047,300,2009-07-07
CA,06047,300,2009-07-14
CA,06047,300,2009-07-21
CA,06047,300,2009-07-28
CA,06047,300,2009-08-04
CA,06047,300,2009-08-11
CA,06047,300,2009-08-18
CA,06047,300,2009-08-25
CA,06047,300,2009-09-01
CA,06047,300,2009-09-08
CA,06047,300,2009-09-15
CA,06047,300,2009-09-22
CA,06047,300,2009-09-29
CA,06047,300,2009-10-06
CA,06047,300,2009-10-13
CA,06047,188,2009-10-20
CA,06047,188,2009-10-27
CA,06047,188,2009-11-03
CA,06047,187,2009-11-10
CA,06047,187,2009-11-17
CA,06047,187,2009-11-24
CA,06047,187,2009-12-01
CA,06047,187,2009-12-08
CA,06047,187,2009-12-15
CA,06047,187,2009-12-22
CA,06047,187,2009-12-29
CA,06047,187,2010-01-05
CA,06047,187,2010-01-12
CA,06047,187,2010-01-19
CA,06047,88,2010-01-26
CA,06047,88,2010-02-02
CA,06047,88,2010-02-09
CA,06047,89,2010-02-16
CA,06047,89,2010-02-23
CA,06047,89,2010-03-02
CA,06047,89,2010-03-09
CA,06047,89,2010-03-16
CA,06047,89,2010-03-23
CA,06047,89,2010-03-30
CA,06047,89,2010-04-06
CA,06047,91,2010-04-13
CA,06047,91,2010-04-20
CA,06047,0,2010-04-27
CA,06047,0,2010-05-04
CA,06047,0,2010-05-11
CA,06047,0,2010-05-18
CA,06047,0,2010-05-25
CA,06047,0,2010-06-01
CA,06047,0,2010-06-08
CA,06047,0,2010-06-15
CA,06047,0,2010-06-22
CA,06047,0,2010-06-29
CA,06047,0,2010-07-06
CA,06047,0,2010-07-13
CA,06047,0,2010-07-20
CA,06047,0,2010-07-27
CA,06047,0,2010-08-03
CA,06047,0,2010-08-10
CA,06047,0,2010-08-17
CA,06047,0,2010-08-24
CA,06047,0,2010-08-31
CA,06047,0,2010-09-07
CA,06047,0,2010-09-14
CA,06047,0,2010-09-21
CA,06047,0,2010-09-28
CA,06047,0,2010-10-05
CA,06047,0,2010-10-12
CA,06047,0,2010-10-19
CA,06047,0,2010-10-26
CA,06047,0,2010-11-02
CA,06047,0,2010-11-09
CA,06047,0,2010-11-16
CA,06047,0,2010-11-23
CA,06047,0,2010-11-30
CA,06047,19,2010-12-07
CA,06047,19,2010-12-14
CA,06047,15,2010-12-21
CA,06047,0,2010-12-28
CA,06047,0,2011-01-04
CA,06047,0,2011-01-11
CA,06047,0,2011-01-18
CA,06047,0,2011-01-25
CA,06047,0,2011-02-01
CA,06047,0,2011-02-08
CA,06047,0,2011-02-15
CA,06047,0,2011-02-22
CA,06047,0,2011-03-01
CA,06047,0,2011-03-08
CA,06047,0,2011-03-15
CA,06047,0,2011-03-22
CA,06047,0,2011-03-29
CA,06047,0,2011-04-05
CA,06047,0,2011-04-12
CA,06047,0,2011-04-19
CA,06047,0,2011-04-26
CA,06047,0,2011-05-03
CA,06047,0,2011-05-10
CA,06047,0,2011-05-17
CA,06047,0,2011-05-24
CA,06047,0,2011-05-31
CA,06047,0,2011-06-07
